tick,timestamp_ms,mspt,cpu_temp_c,cpu_freq_mhz,cpu_power_w
1,1782044813615,23.799,88.0,2800.1,30.31
2,1782044813669,28.069,88.0,2800.1,29.72
3,1782044813735,25.983,89.0,2800.5,31.05
4,1782044813765,24.067,89.0,2799.0,31.05
5,1782044813816,25.200,88.0,2800.1,31.05
6,1782044813863,22.106,87.0,2800.2,26.64
7,1782044813916,25.403,87.0,2800.7,26.64
8,1782044813966,25.273,87.0,2799.9,24.22
9,1782044814016,25.569,88.0,2800.0,24.22
10,1782044814063,22.333,88.0,2799.8,27.51
11,1782044814111,20.662,87.0,2549.9,27.51
12,1782044814161,19.712,84.0,2799.6,21.78
13,1782044814210,19.182,83.0,2799.6,21.78
14,1782044814263,22.088,84.0,2800.1,20.34
15,1782044814313,21.759,83.0,2800.0,20.34
16,1782044814360,19.060,84.0,2799.9,19.29
17,1782044814414,23.535,85.0,2800.2,19.29
18,1782044814464,23.558,84.0,2800.0,20.24
19,1782044814510,19.657,85.0,2800.0,20.24
20,1782044814561,20.695,85.0,2800.2,21.64
21,1782044814610,19.247,83.0,2799.9,21.64
22,1782044814710,69.065,84.0,2800.2,21.82
23,1782044814732,21.750,84.0,2800.0,21.82
24,1782044814760,19.693,85.0,2799.6,21.31
25,1782044814811,20.677,84.0,2799.9,21.31
26,1782044814861,19.931,83.0,2800.1,18.52
27,1782044814910,19.006,84.0,2799.9,18.52
28,1782044814960,18.865,85.0,2550.1,17.04
29,1782044815012,21.030,81.0,2799.9,17.04
30,1782044815061,19.736,81.0,2550.0,16.19
31,1782044815112,21.468,82.0,2800.5,16.19
32,1782044815161,20.244,84.0,2800.6,16.20
33,1782044815211,20.471,85.0,2800.0,16.20
34,1782044815264,22.883,85.0,2799.6,18.70
35,1782044815314,23.221,86.0,2800.0,18.70
36,1782044815362,21.397,85.0,2800.1,21.03
37,1782044815413,22.314,85.0,2800.1,21.03
38,1782044815460,19.146,85.0,2549.7,20.99
39,1782044815510,19.205,85.0,2799.6,20.99
40,1782044815563,22.007,85.0,2799.8,18.39
41,1782044815611,19.704,86.0,2799.8,18.39
42,1782044815668,26.985,85.0,2800.2,19.98
43,1782044815717,25.944,84.0,2800.4,19.98
44,1782044815760,18.920,86.0,2801.0,19.78
45,1782044815813,22.004,84.0,2800.0,19.78
46,1782044815862,21.088,86.0,2800.0,21.36
47,1782044815913,21.823,85.0,2799.9,21.36
48,1782044815960,18.961,85.0,2800.2,21.41
49,1782044816013,21.737,86.0,2799.4,21.41
50,1782044816064,22.940,86.0,2799.8,17.61
51,1782044816112,21.476,86.0,2800.2,17.61
